=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Correlation Ranking Filter
Ranked attributes:
 0.09735     2084 X2083
 0.09723      850 X849
 0.09706     1130 X1129
 0.09701     1712 X1711
 0.09696     1939 X1938
 0.09696     2283 X2282
 0.09695     2038 X2037
 0.09679     2045 X2044
 0.09677     1549 X1548
 0.09674     1856 X1855
 0.09668     1645 X1644
 0.09661     1854 X1853
 0.09655     1911 X1910
 0.09652     2047 X2046
 0.09639      832 X831
 0.09636     1597 X1596
 0.09619     2197 X2196
 0.09612     1125 X1124
 0.09603     2046 X2045
 0.0959      1866 X1865
 0.09589     2097 X2096
 0.09587     1953 X1952
 0.09579     2286 X2285
 0.09579     1034 X1033
 0.09565      554 X553
 0.0956      1808 X1807
 0.09546     2048 X2047
 0.09536      737 X736
 0.09518     2030 X2029
 0.09517     2178 X2177
 0.09495     1175 X1174
 0.09493     1855 X1854
 0.09492      503 X502
 0.0949       690 X689
 0.09482     1515 X1514
 0.0948      1618 X1617
 0.09478     1987 X1986
 0.09474     1179 X1178
 0.09457     2001 X2000
 0.09456     2246 X2245
 0.09456     1790 X1789
 0.09451     1554 X1553
 0.09446     1930 X1929
 0.09446     2035 X2034
 0.09443     1691 X1690
 0.09441     1845 X1844
 0.09431     1786 X1785
 0.09423     1032 X1031
 0.0942      1601 X1600
 0.09417     1840 X1839
 0.0941      1084 X1083
 0.09408     1600 X1599
 0.09403     1650 X1649
 0.0939      2148 X2147
 0.09383     1882 X1881
 0.09382      899 X898
 0.09376      983 X982
 0.09369     1809 X1808
 0.09365     2049 X2048
 0.09339      643 X642
 0.09332     1904 X1903
 0.09325     1834 X1833
 0.09324     2037 X2036
 0.09311     1717 X1716
 0.09307     2272 X2271
 0.09292     1891 X1890
 0.09292     2098 X2097
 0.09288     1978 X1977
 0.09271     1738 X1737
 0.09258     1080 X1079
 0.09255     2295 X2294
 0.09247     1760 X1759
 0.09246     1286 X1285
 0.09233      879 X878
 0.09221      604 X603
 0.09204     2036 X2035
 0.09199     1644 X1643
 0.09191     2131 X2130
 0.09181     1424 X1423
 0.09156     1796 X1795
 0.09121     2050 X2049
 0.09119     2198 X2197
 0.09119     2284 X2283
 0.09111     2029 X2028
 0.09082     2285 X2284
 0.09069     1912 X1911
 0.09066     1323 X1322
 0.09059     1132 X1131
 0.09053     2004 X2003
 0.0905      1045 X1044
 0.09014     1021 X1020
 0.09001      784 X783
 0.08998     2099 X2098
 0.08968     2149 X2148
 0.08964      753 X752
 0.0896      1665 X1664
 0.08949     2083 X2082
 0.08945      926 X925
 0.08934     1940 X1939
 0.08923      948 X947
 0.08916     1646 X1645
 0.08916     1173 X1172
 0.08908     2027 X2026
 0.08907     1841 X1840
 0.08904     2247 X2246
 0.08894     1577 X1576
 0.08882     1867 X1866
 0.08876     2028 X2027
 0.08863     1844 X1843
 0.0886       654 X653
 0.08857     2000 X1999
 0.08853     1958 X1957
 0.08845     1819 X1818
 0.08842     1078 X1077
 0.08831     1952 X1951
 0.08827      802 X801
 0.08818     1747 X1746
 0.08809     1898 X1897
 0.08804     1913 X1912
 0.08794     1621 X1620
 0.08794      596 X595
 0.08771     1626 X1625
 0.08745     1892 X1891
 0.08741     2026 X2025
 0.08735     1897 X1896
 0.087       1988 X1987
 0.08697     1506 X1505
 0.08693     2296 X2295
 0.08691     1423 X1422
 0.08673     2051 X2050
 0.08671     1619 X1618
 0.08647     1896 X1895
 0.08625     1238 X1237
 0.08618     1842 X1841
 0.08618     1690 X1689
 0.08611     1914 X1913
 0.0861      1260 X1259
 0.08608     1899 X1898
 0.08605     1903 X1902
 0.08591     2177 X2176
 0.08588     1893 X1892
 0.08587     2100 X2099
 0.08579     1742 X1741
 0.08565     1082 X1081
 0.08547     1843 X1842
 0.08543      505 X504
 0.08541     1895 X1894
 0.08539     2224 X2223
 0.08535     2080 X2079
 0.08517     2079 X2078
 0.08506     2082 X2081
 0.08501     1031 X1030
 0.08476     1763 X1762
 0.08467     1941 X1940
 0.08466     2199 X2198
 0.08466     1894 X1893
 0.08461     2081 X2080
 0.08439     2150 X2149
 0.08438      704 X703
 0.08437     1771 X1770
 0.08413     1308 X1307
 0.08398     1993 X1992
 0.08389      831 X830
 0.08389     1479 X1478
 0.0838      1992 X1991
 0.08357     1977 X1976
 0.08356      851 X850
 0.08349     1212 X1211
 0.08337     1596 X1595
 0.08329     1643 X1642
 0.08327     1900 X1899
 0.08307     2130 X2129
 0.08301     1999 X1998
 0.08298     1989 X1988
 0.08289     1528 X1527
 0.08288     1994 X1993
 0.08276     1915 X1914
 0.08268     1694 X1693
 0.08265     2078 X2077
 0.08249     1565 X1564
 0.08243     1902 X1901
 0.0824       549 X548
 0.08225     1991 X1990
 0.08221     1946 X1945
 0.0822      2005 X2004
 0.08209     1669 X1668
 0.08206     1945 X1944
 0.08206     1990 X1989
 0.08196     1942 X1941
 0.08193     1164 X1163
 0.08192     1901 X1900
 0.0819       262 X261
 0.0819      1929 X1928
 0.08178     1959 X1958
 0.08176     2025 X2024
 0.08175      310 X309
 0.08169      973 X972
 0.08162     1944 X1943
 0.08161     2271 X2270
 0.08159     2052 X2051
 0.08149     2248 X2247
 0.08149     1568 X1567
 0.08143     1190 X1189
 0.08137     2101 X2100
 0.08114     1356 X1355
 0.08084     1951 X1950
 0.08083     1943 X1942
 0.08076     2075 X2074
 0.08069     1507 X1506
 0.0804       263 X262
 0.08024     1761 X1760
 0.08022     1620 X1619
 0.08007     1995 X1994
 0.08004     1713 X1712
 0.08001     2176 X2175
 0.07987     2077 X2076
 0.07986     1689 X1688
 0.07986     2074 X2073
 0.07981     1947 X1946
 0.07968     2129 X2128
 0.07964      456 X455
 0.07951     2297 X2296
 0.07941     1116 X1115
 0.07941     1998 X1997
 0.07925     2151 X2150
 0.07923     1642 X1641
 0.07916      311 X310
 0.07914     2128 X2127
 0.07912     1698 X1697
 0.07908      455 X454
 0.07901     1881 X1880
 0.07899     1960 X1959
 0.07894     2076 X2075
 0.07889     2127 X2126
 0.07885     2267 X2266
 0.07872     1127 X1126
 0.07868     1641 X1640
 0.07864     1791 X1790
 0.07854     2102 X2101
 0.07852      997 X996
 0.07812     1035 X1034
 0.07811     1996 X1995
 0.07803     2126 X2125
 0.07797     1079 X1078
 0.07794     1737 X1736
 0.07778     1795 X1794
 0.07776     1950 X1949
 0.07776     1997 X1996
 0.07766      878 X877
 0.07761     1649 X1648
 0.0776      1723 X1722
 0.07757     1174 X1173
 0.07748     2223 X2222
 0.07744     2053 X2052
 0.07737      502 X501
 0.07723     1578 X1577
 0.07723     2268 X2267
 0.07723     1916 X1915
 0.07711     1404 X1403
 0.07709     1961 X1960
 0.07708     2266 X2265
 0.07707     1868 X1867
 0.07698     2024 X2023
 0.07695      261 X260
 0.07689     2006 X2005
 0.07684     2175 X2174
 0.07683     1948 X1947
 0.07678      309 X308
 0.07676     1593 X1592
 0.07667     1762 X1761
 0.07664     1521 X1520
 0.07651     2103 X2102
 0.0765      1949 X1948
 0.07638      689 X688
 0.07632      900 X899
 0.07623     1647 X1646
 0.07617     1666 X1665
 0.07597     2073 X2072
 0.0759      2200 X2199
 0.07589     2219 X2218
 0.07579     1962 X1961
 0.07575     2123 X2122
 0.07566     1833 X1832
 0.07555     1373 X1372
 0.07544      605 X604
 0.07539     1142 X1141
 0.07535     1324 X1323
 0.07527     1785 X1784
 0.07521     1544 X1543
 0.07518     1548 X1547
 0.07516     2220 X2219
 0.07513     2125 X2124
 0.07507     2174 X2173
 0.07495      358 X357
 0.07491     1976 X1975
 0.0749       736 X735
 0.07483      655 X654
 0.07478     1592 X1591
 0.07461     2249 X2248
 0.07454     2054 X2053
 0.07449      264 X263
 0.07443     2270 X2269
 0.07435      215 X214
 0.07434      555 X554
 0.07432     2269 X2268
 0.07428     2171 X2170
 0.07427     1963 X1962
 0.07423     2124 X2123
 0.07421     2218 X2217
 0.0741       214 X213
 0.0741      1068 X1067
 0.07401     2222 X2221
 0.07397     1716 X1715
 0.07391     2072 X2071
 0.0739      1640 X1639
 0.07381     2152 X2151
 0.07372      642 X641
 0.07372     1495 X1494
 0.07366     2007 X2006
 0.07366     2173 X2172
 0.07364      407 X406
 0.0736       359 X358
 0.07353     2221 X2220
 0.0735      2172 X2171
 0.07342     1543 X1542
 0.07333     1595 X1594
 0.07301     2122 X2121
 0.073       1452 X1451
 0.07291     1820 X1819
 0.07281     1594 X1593
 0.07281     1545 X1544
 0.07277     2265 X2264
 0.07268     1473 X1472
 0.0722      1964 X1963
 0.07219     2055 X2054
 0.07217     1496 X1495
 0.07212     1675 X1674
 0.07212      754 X753
 0.07211     2104 X2103
 0.07205     2023 X2022
 0.07193     1529 X1528
 0.07187     2298 X2297
 0.0718      2170 X2169
 0.07179     1447 X1446
 0.07178     1126 X1125
 0.07173     1648 X1647
 0.07163      357 X356
 0.07157      925 X924
 0.07151      308 X307
 0.07144     1500 X1499
 0.07141      408 X407
 0.07141     2008 X2007
 0.07135      370 X369
 0.07133     2217 X2216
 0.07127      783 X782
 0.07127     1928 X1927
 0.07126     2201 X2200
 0.07123      260 X259
 0.07101     1591 X1590
 0.07077      216 X215
 0.07061     2071 X2070
 0.07056      369 X368
 0.07047      265 X264
 0.07025      312 X311
 0.07017     1399 X1398
